ParentSKU,Site_id,Year,Month,Category_id,Qty,Price,Net_sales,Discount,ATC,MRP,Pack_size,Pack_unit_id,Zone,Master_category,Size,Rank
F0033,BANGALORE,2019,2,0,843.0,6702.8,36246.0,0,36246.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,BANGALORE,2019,3,0,770.0,6702.8,33480.0,0,33480.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,BANGALORE,2019,4,0,637.0,6702.8,26805.0,0,26805.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,BANGALORE,2019,5,0,903.0,6702.8,37894.0,0,37894.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,BANGALORE,2019,6,0,684.0,6702.8,29610.0,0,29610.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,BANGALORE,2019,7,0,570.0,6702.8,26677.0,0,26677.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,BANGALORE,2019,8,0,1129.0,6702.8,52547.0,0,52547.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,BANGALORE,2019,9,0,472.0,6702.8,21955.0,0,21955.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,BANGALORE,2019,10,0,1287.0,6702.8,54347.0,0,54347.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,BANGALORE,2019,11,0,1233.0,6702.8,50821.0,0,50821.0,6702.8,30.0,GM,South,3,30gm,4
F0033,BANGALORE,2019,12,0,1287.0,6702.8,56084.0,0,56084.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,BANGALORE,2020,1,0,850.0,6702.8,36644.0,0,36644.0,6702.8,30.0,GM,South,3,30gm,4
F0033,BANGALORE,2020,2,0,509.0,6702.8,22277.0,0,22277.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,BHUBANESWR,2017,4,0,684.0,6702.8,34075.0,0,39016.0,6702.8,30.0,GM,EAST,3,30gm,4
F0033,BHUBANESWR,2017,5,0,816.0,6702.8,39941.0,0,45732.0,6702.8,30.0,GM,EAST,3,30gm,4
F0033,BHUBANESWR,2017,6,0,180.0,6702.8,8267.0,0,9466.0,6702.8,30.0,GM,EAST,3,30gm,4
F0033,BHUBANESWR,2017,7,0,1020.0,6702.8,39208.0,0,39208.0,6702.8,30.0,GM,EAST,3,30gm,4
F0033,BHUBANESWR,2017,8,0,858.0,6702.8,33196.0,0,33196.0,6702.8,30.0,GM,EAST,3,30gm,4
F0033,BHUBANESWR,2017,9,0,720.0,6702.8,27917.0,0,27917.0,6702.8,30.0,GM,EAST,3,30gm,4
F0033,BHUBANESWR,2017,11,0,540.0,6702.8,23019.0,0,23019.0,6702.8,30.0,GM,EAST,3,30gm,4
F0033,BHUBANESWR,2017,12,0,390.0,6702.8,16760.0,0,16760.0,6702.8,30.0,GM,EAST,3,30gm,4
F0033,BHUBANESWR,2018,1,0,864.0,6702.8,36858.0,0,36858.0,6702.8,30.0,GM,EAST,3,30gm,4
